,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,popularity,release_date,length,artist
58,BLACKPINK IN YOUR AREA,4,4AESxPBujvuBbCAfBuA2sq,STAY,spotify:track:4AESxPBujvuBbCAfBuA2sq,0.585,0.382,0.4,0.0,0.178,-7.38,0.0391,175.899,0.405,4,52,2018-12-05,230760,BLACKPINK
59,BLACKPINK IN YOUR AREA,5,5DVgfulxeJZJYc8FseyfUf,AS IF IT’S YOUR LAST,spotify:track:5DVgfulxeJZJYc8FseyfUf,0.123,0.767,0.868,0.0,0.0681,-2.252,0.0733,125.066,0.506,4,50,2018-12-05,212266,BLACKPINK
61,BLACKPINK IN YOUR AREA,7,02h4inVwwNX1cMuGCDtsgV,FOREVER YOUNG,spotify:track:02h4inVwwNX1cMuGCDtsgV,0.0816,0.635,0.969,0.0,0.0613,-1.088,0.0565,110.046,0.46,4,61,2018-12-05,237146,BLACKPINK
62,BLACKPINK IN YOUR AREA,8,6OKXcx7tClGAS0o2cOTl2v,REALLY,spotify:track:6OKXcx7tClGAS0o2cOTl2v,0.0284,0.715,0.874,0.0,0.28,-2.318,0.104,142.016,0.951,4,59,2018-12-05,197360,BLACKPINK
63,BLACKPINK IN YOUR AREA,9,7IS4NciwYPs1wMywOKx69z,SEE U LATER,spotify:track:7IS4NciwYPs1wMywOKx69z,0.0318,0.774,0.907,0.0,0.544,-3.729,0.114,107.004,0.641,4,60,2018-12-05,199933,BLACKPINK
64,How You Like That,1,3vAn0qZzdyuHamcrpkfiX3,How You Like That,spotify:track:3vAn0qZzdyuHamcrpkfiX3,0.0694,0.828,0.782,3.41e-05,0.0544,-4.014,0.0918,130.013,0.351,4,87,2020-06-26,181263,BLACKPINK
67,Sour Candy (with BLACKPINK),1,6R6ZoHTypt5lt68MWbzZXv,Sour Candy (with BLACKPINK),spotify:track:6R6ZoHTypt5lt68MWbzZXv,0.0604,0.752,0.87,1.12e-05,0.489,-3.812,0.0623,120.006,0.784,4,86,2020-05-28,157706,Lady Gaga
68,DDU-DU DDU-DU (Remix JP Ver.),1,2ERO7JFeaRMIdlEn9JTryn,DDU-DU DDU-DU - Remix JP Ver.,spotify:track:2ERO7JFeaRMIdlEn9JTryn,0.0223,0.661,0.876,0.000167,0.07,-7.122,0.0662,144.981,0.619,4,53,2019-10-16,201225,BLACKPINK
69,KILL THIS LOVE (JP Ver.),1,3mpGXkkjhY8K5C9OsaCMBo,KILL THIS LOVE - JP Ver.,spotify:track:3mpGXkkjhY8K5C9OsaCMBo,0.344,0.753,0.846,0.002,0.419,-4.77,0.261,131.924,0.542,4,67,2019-10-16,189493,BLACKPINK
70,KILL THIS LOVE (JP Ver.),2,38eKmp6QjELXKgLh0pePfG,DON'T KNOW WHAT TO DO - JP Ver.,spotify:track:38eKmp6QjELXKgLh0pePfG,0.0658,0.662,0.614,0.0,0.1,-4.105,0.0396,129.94,0.413,4,46,2019-10-16,200786,BLACKPINK
71,KILL THIS LOVE (JP Ver.),3,6HHbjSWWGh6j9JcmLZ41Py,KICK IT - JP Ver.,spotify:track:6HHbjSWWGh6j9JcmLZ41Py,0.0145,0.792,0.705,0.0,0.0462,-3.974,0.0492,124.889,0.493,4,44,2019-10-16,191226,BLACKPINK
72,KILL THIS LOVE (JP Ver.),4,04xEHIAK4MsI7ZSN1hSDQN,HOPE NOT - JP Ver.,spotify:track:04xEHIAK4MsI7ZSN1hSDQN,0.563,0.584,0.342,0.0,0.128,-5.702,0.0276,109.557,0.199,4,43,2019-10-16,191026,BLACKPINK
73,KILL THIS LOVE (JP Ver.),5,04LWm93tY9nwdlI9EO54HP,DDU-DU DDU-DU - Remix -JP Ver.-,spotify:track:04LWm93tY9nwdlI9EO54HP,0.0256,0.649,0.872,0.000275,0.0692,-7.138,0.0624,144.94,0.619,4,0,2019-10-16,201626,BLACKPINK
74,KILL THIS LOVE,1,18PergoIrGmRyeYxnaXJN2,Kill This Love,spotify:track:18PergoIrGmRyeYxnaXJN2,0.32,0.738,0.861,0.00175,0.325,-4.141,0.237,131.974,0.58,4,79,2019-04-05,189052,BLACKPINK
75,KILL THIS LOVE,2,0zYqFyhiTj419q56lNsjk0,Don't Know What To Do,spotify:track:0zYqFyhiTj419q56lNsjk0,0.0992,0.628,0.64,0.0,0.138,-4.164,0.049,129.815,0.409,4,70,2019-04-05,201081,BLACKPINK
